Wavelength (nm),Cu_n,Cu_k,Zn_n,Zn_k,SiO2_n,SiO2_k
369.0,1.3575735294117646,1.9806617647058824,0.538515806084627,3.157469279606591,1.4792525605112863,0.002950059831384281
370.0,1.3553676470588236,1.985808823529412,0.5394993284157217,3.1687687768358472,1.4791184838183302,0.0029410851237421814
371.0,1.3531617647058825,1.9909558823529407,0.5404828507468163,3.1800682740651034,1.478984407125374,0.002932110416100082
372.0,1.3509558823529413,1.9961029411764708,0.5414663730779111,3.191367771294359,1.4788528244952892,0.002923331359353971
373.0,1.34875,2.00125,0.5424498954090058,3.2026672685236157,1.4787233493943475,0.0029147176312247646
374.0,1.346544117647059,2.0063970588235294,0.5434334177401006,3.2139667657528714,1.4785938742934053,0.0029061039030955586
375.0,1.3443382352941178,2.0115441176470585,0.5444169400711952,3.225266262982128,1.478464399192463,0.0028974901749663526
376.0,1.3421323529411768,2.016691176470588,0.54540046240229,3.236565760211384,1.478338156491602,0.002889165289256199
377.0,1.3399264705882354,2.0218382352941173,0.5463839847333847,3.24786525744064,1.4782125899760061,0.002880900826446281
378.0,1.337720588235294,2.026985294117647,0.5473675070644795,3.2591647546698965,1.4780870234604107,0.0028726363636363637
379.0,1.335514705882353,2.032132352941177,0.5483510293955741,3.2704642518991527,1.477961773291106,0.002864378200052784
380.0,1.333308823529412,2.0372794117647057,0.5493345517266688,3.281763749128408,1.4778403692267088,0.002856196621799947
381.0,1.3311029411764703,2.042426470588236,0.5503180740577636,3.293063246357664,1.477718965162312,0.00284801504354711
382.0,1.3296855345911949,2.047232704402516,0.5516358025856375,3.304038331603284,1.477597561097915,0.0028398334652942727
383.0,1.329056603773585,2.051698113207547,0.5532746311849265,3.314701726903841,1.4774772529396394,0.0028316752025084923
384.0,1.3284276729559752,2.0561635220125787,0.5549134597842156,3.325365122204398,1.4773596673634701,0.0028235748628168277
385.0,1.327798742138365,2.06062893081761,0.5565522883835047,3.336028517504954,1.4772420817873007,0.002815474523125163
386.0,1.3271698113207548,2.0650943396226413,0.5581911169827939,3.3466919128055106,1.4771244962111314,0.002807374183433499
387.0,1.326540880503145,2.0695597484276727,0.559829945582083,3.357355308106068,1.4770086326002587,0.002799429495472186
388.0,1.3259119496855347,2.0740251572327044,0.5614687741813721,3.3680187034066247,1.476894790426908,0.0027916675291073736
389.0,1.3252830188679243,2.078490566037736,0.5631076027806612,3.378682098707181,1.4767809482535577,0.002783905562742561
390.0,1.3246540880503146,2.0829559748427675,0.5647464313799503,3.3893454940077383,1.476667106080207,0.0027761435963777484
391.0,1.3240251572327044,2.0874213836478,0.5663852599792394,3.4000088893082947,1.47655544786062,0.002768426594926979
392.0,1.3233962264150942,2.0918867924528306,0.5680240885785285,3.4106722846088515,1.4764452761977966,0.0027607401998462717
393.0,1.3227672955974843,2.096352201257862,0.5696629171778176,3.4213356799094083,1.476335104534973,0.0027530538047655646
394.0,1.3221383647798743,2.100817610062893,0.5713017457771067,3.4319990752099656,1.4762249328721497,0.0027453674096848575
395.0,1.3215094339622642,2.105283018867925,0.5729405743763958,3.442662470510522,1.4761172896271875,0.00273773497337053
396.0,1.3208805031446542,2.1097484276729563,0.574579402975685,3.4533258658110784,1.4760107717474007,0.0027301265533857468
397.0,1.3202515723270445,2.114213836477988,0.5762182315749741,3.463989261111636,1.4759042538676135,0.002722518133400964
398.0,1.3184905660377355,2.119433962264152,0.5778570601742632,3.4746526564121925,1.4757977359878267,0.0027149097134161805
399.0,1.3159748427672957,2.1251572327044026,0.5794958887735523,3.4853160517127493,1.4756936923656454,0.002707545203415369
400.0,1.3134591194968552,2.1308805031446547,0.5811347173728414,3.4959794470133057,1.4755904779005526,0.0027002624309392267
401.0,1.310943396226415,2.136603773584906,0.5827735459721305,3.506642842313863,1.4754872634354597,0.002692979658463084
402.0,1.3084276729559747,2.1423270440251576,0.5844123745714196,3.5173062376144197,1.4753840489703667,0.0026856968859869414
403.0,1.3059119496855345,2.1480503144654093,0.5860512031707087,3.527969632914976,1.4752833381402288,0.0026784696668324215
404.0,1.3033962264150944,2.153773584905661,0.5876900317699978,3.538633028215533,1.4751833878667329,0.0026712593237195425
405.0,1.300880503144654,2.159496855345912,0.5893288603692869,3.5492964235160898,1.4750834375932371,0.0026640489806066627
406.0,1.2983647798742135,2.1652201257861634,0.5909676889685761,3.559959818816646,1.4749834873197416,0.002656838637493784
407.0,1.2958490566037737,2.170943396226414,0.5926065175678651,3.570623214117202,1.4748859209748892,0.0026498645987198424
408.0,1.2933333333333334,2.1766666666666663,0.5942453461671542,3.58128660941776,1.474789170605613,0.0026429714426390943
409.0,1.2908176100628932,2.182389937106918,0.5958841747664433,3.591950004718316,1.4746924202363365,0.0026360782865583457
410.0,1.288301886792453,2.1881132075471696,0.5975230033657324,3.6026134000188725,1.4745956698670604,0.0026291851304775975
411.0,1.2857861635220127,2.1938364779874213,0.5991618319650215,3.61327679531943,1.4745010779917134,0.0026223390202291005
412.0,1.2832704402515724,2.1995597484276725,0.6008006605643106,3.623940190619986,1.4744074879356566,0.0026155147453083114
413.0,1.280754716981132,2.205283018867924,0.6024394891635997,3.634603585920543,1.4743138978796002,0.0026086904703875218
414.0,1.278779069767442,2.210988372093023,0.6043639881823746,3.644935250592212,1.4742203078235436,0.0026018661954667318
415.0,1.2770348837209302,2.216686046511628,0.6064001330813659,3.65513726810572,1.4741283745173746,0.0025950810810810815
416.0,1.2752906976744187,2.222383720930232,0.6084362779803572,3.6653392856192273,1.474037640926641,0.0025883243243243247
417.0,1.273546511627907,2.228081395348837,0.6104724228793484,3.6755413031327353,1.4739469073359073,0.0025815675675675675
418.0,1.2718023255813953,2.233779069767442,0.6125085677783397,3.685743320646243,1.4738561737451739,0.0025748108108108107
419.0,1.2700581395348836,2.2394767441860464,0.6145447126773308,3.69594533815975,1.4737667653524493,0.0025680829151732377
420.0,1.2683139534883725,2.2451744186046514,0.6165808575763221,3.706147355673259,1.4736790712066905,0.0025613923536439666
421.0,1.2665697674418606,2.250872093023256,0.6186170024753134,3.7163493731867674,1.4735913770609317,0.0025547017921146954
422.0,1.2648255813953488,2.256569767441861,0.6206531473743045,3.7265513907002736,1.4735036829151733,0.0025480112305854247
423.0,1.2630813953488371,2.262267441860465,0.6226892922732958,3.7367534082137817,1.4734166231369767,0.0025413967352732434
424.0,1.2613372093023256,2.26796511627907,0.6247254371722872,3.746955425727289,1.4733314563520228,0.0025350092264017038
425.0,1.259593023255814,2.2736627906976747,0.6267615820712783,3.757157443240797,1.4732462895670688,0.0025286217175301633
426.0,1.2578488372093024,2.279360465116279,0.6287977269702696,3.767359460754305,1.473161122782115,0.0025222342086586233
427.0,1.256104651162791,2.285058139534884,0.6308338718692609,3.777561478267813,1.4730760267041463,0.002515848208011244
428.0,1.254360465116279,2.2907558139534885,0.632870016768252,3.787763495781321,1.47299380604357,0.002509523541813071
429.0,1.2526162790697677,2.296453488372093,0.6349061616672433,3.797965513294829,1.4729115853829937,0.002503198875614898
430.0,1.250872093023256,2.3021511627906976,0.6369423065662346,3.808167530808337,1.4728293647224175,0.0024968742094167253
431.0,1.2497549019607843,2.307254901960784,0.6389784514652258,3.818369548321844,1.4727471440618412,0.002490549543218552
432.0,1.249264705882353,2.311764705882353,0.6410145963642171,3.828571565835352,1.4726667820542545,0.0024844486436355205
433.0,1.2487745098039216,2.3162745098039217,0.6430507412632083,3.838773583348859,1.4725870231857174,0.002478420357060051
434.0,1.2482843137254902,2.3207843137254907,0.6450868861621996,3.8489756008623672,1.4725072643171806,0.0024723920704845816
435.0,1.2477941176470588,2.325294117647059,0.6471230310611908,3.859177618375875,1.4724275054486435,0.0024663637839091117
436.0,1.2473039215686277,2.329803921568628,0.649159175960182,3.869379635889383,1.4723488985074626,0.0024603611940298507
437.0,1.246813725490196,2.334313725490196,0.6511953208591733,3.879581653402891,1.4722717458094143,0.0024543910447761192
438.0,1.2463235294117647,2.3388235294117647,0.6532314657581645,3.8897836709163984,1.4721945931113662,0.002448420895522388
439.0,1.2458333333333331,2.3433333333333333,0.6552676106571558,3.8999856884299056,1.4721174404133182,0.0024424507462686568
440.0,1.245343137254902,2.347843137254902,0.6573037555561471,3.9101877059434154,1.4720404918144614,0.0024364856753069574
441.0,1.2448529411764706,2.3523529411764708,0.6593399004551384,3.920389723456922,1.4719656850841294,0.0024305738972260115
442.0,1.2443627450980392,2.35686274509804,0.6613760453541296,3.930591740970429,1.4718908783537972,0.002424662119145066
443.0,1.243872549019608,2.361372549019608,0.6634121902531207,3.9407937584839376,1.4718160716234652,0.00241875034106412
444.0,1.2433823529411765,2.3658823529411768,0.665448335152112,3.950995775997445,1.4717412648931332,0.0024128385629831745
445.0,1.2428921568627451,2.370392156862745,0.6674844800511033,3.9611977935109537,1.4716680657213594,0.0024069680396128744
446.0,1.2424019607843138,2.3749019607843134,0.6695206249500945,3.971399811024461,1.4715955921674546,0.002401116137744767
447.0,1.2419117647058822,2.379411764705882,0.6715567698490859,3.981601828537968,1.4715231186135496,0.0023952642358766596
448.0,1.241421568627451,2.383921568627451,0.6735929147480771,3.991803846051477,1.4714506450596443,0.0023894123340085526
449.0,1.2409313725490196,2.3884313725490194,0.6756290596470683,4.002005863564984,1.4713787301092043,0.0023836293737463784
450.0,1.2404411764705885,2.392941176470588,0.6776652045460595,4.012207881078491,1.4713085273010922,0.002378057722308892
451.0,1.2400487804878049,2.3974195121951216,0.6797492780303871,4.022353246090717,1.4712383244929796,0.0023724860708714064
452.0,1.2405365853658537,2.4016146341463416,0.6821092647221915,4.032172476433404,1.4711681216848673,0.0023669144194339202
453.0,1.2410243902439024,2.4058097560975606,0.6844692514139958,4.04199170677609,1.4710979188767552,0.002361342767996434
454.0,1.2415121951219512,2.4100048780487806,0.6868292381058002,4.051810937118776,1.4710294174757281,0.0023558131067961167
455.0,1.242,2.4142,0.6891892247976047,4.061630167461463,1.4709614563106796,0.002350296778464254
456.0,1.2424878048780488,2.418395121951219,0.691549211489409,4.071449397804148,1.4708934951456312,0.0023447804501323917
457.0,1.2429756097560976,2.422590243902439,0.6939091981812134,4.081268628146834,1.4708255339805827,0.002339264121800529
458.0,1.2434634146341463,2.4267853658536582,0.6962691848730177,4.09108785848952,1.4707580220668561,0.0023338097006772992
459.0,1.2439512195121951,2.430980487804878,0.6986291715648222,4.100907088832206,1.4706920399825214,0.002328566091326196
460.0,1.244439024390244,2.4351756097560973,0.7009891582566266,4.110726319174892,1.4706260578981867,0.0023233224819750927
461.0,1.244926829268293,2.439370731707317,0.7033491449484308,4.120545549517578,1.470560075813852,0.002318078872623989
462.0,1.2454146341463417,2.4435658536585363,0.7057091316402352,4.1303647798602645,1.4704940937295172,0.002312835263272886
463.0,1.2459024390243902,2.447760975609756,0.7080691183320396,4.140184010202951,1.4704295226043693,0.0023074849664719878
464.0,1.246390243902439,2.451956097560976,0.7104291050238439,4.150003240545637,1.4703657112264763,0.0023020772225827383
